idx,stratum,true,pred,confidence
230,high_confidence_correct,0,0,0.9974564
294,high_confidence_correct,0,0,0.99725276
143,high_confidence_correct,0,0,0.9972519
471,high_confidence_correct,0,0,0.99721706
438,high_confidence_correct,0,0,0.9971827
566,high_confidence_correct,0,0,0.99718153
598,high_confidence_correct,0,0,0.99716645
209,high_confidence_correct,0,0,0.9971239
552,high_confidence_correct,0,0,0.9970726
40,high_confidence_correct,0,0,0.99703515
207,high_confidence_correct,0,0,0.99701416
365,high_confidence_correct,0,0,0.99700207
271,high_confidence_correct,0,0,0.9969689
263,high_confidence_correct,0,0,0.99694425
1,high_confidence_correct,0,0,0.99693644
68,high_confidence_correct,0,0,0.996935
127,high_confidence_correct,0,0,0.9969248
306,high_confidence_correct,0,0,0.99690175
390,high_confidence_correct,0,0,0.996894
395,high_confidence_correct,0,0,0.99688905
165,low_confidence_correct,0,0,0.50824255
520,low_confidence_correct,1,1,0.51631147
612,low_confidence_correct,1,1,0.519494
9,low_confidence_correct,0,0,0.5229032
69,low_confidence_correct,1,1,0.5331677
377,low_confidence_correct,0,0,0.53595144
144,low_confidence_correct,0,0,0.5362664
501,low_confidence_correct,1,1,0.5402931
565,low_confidence_correct,1,1,0.5422655
407,low_confidence_correct,1,1,0.54547197
400,low_confidence_correct,1,1,0.5526353
462,low_confidence_correct,1,1,0.55377954
660,low_confidence_correct,0,0,0.55472136
252,low_confidence_correct,1,1,0.5588718
465,low_confidence_correct,1,1,0.5659369
526,low_confidence_correct,1,1,0.5671278
475,low_confidence_correct,1,1,0.567876
104,low_confidence_correct,1,1,0.5689565
334,low_confidence_correct,1,1,0.57335
134,low_confidence_correct,1,1,0.58385974
3,incorrect,0,1,0.6591262
7,incorrect,0,1,0.5828156
25,incorrect,0,1,0.948308
30,incorrect,0,1,0.5035805
39,incorrect,0,1,0.87871355
50,incorrect,0,1,0.6806049
54,incorrect,0,1,0.5710504
58,incorrect,0,1,0.54069984
59,incorrect,0,1,0.56843394
70,incorrect,0,1,0.51559913
18,incorrect,1,0,0.6085175
19,incorrect,1,0,0.73477364
23,incorrect,1,0,0.6543474
42,incorrect,1,0,0.9149321
47,incorrect,1,0,0.77129287
55,incorrect,1,0,0.8454998
71,incorrect,1,0,0.6486405
79,incorrect,1,0,0.77065265
92,incorrect,1,0,0.7171125
94,incorrect,1,0,0.7656293
